filename,score
100_jpg.rf.1b537eff4b5b06aaead61d0ea2bbc1e9.jpg,12.5
100_jpg.rf.a546b7b235a5666e5820b210ec2d4b09.jpg,13.6
100_jpg.rf.e400a72eadcb4711fa7d3d8af2b8c8d8.jpg,0.0
101_jpg.rf.6e402620b877103d87cc23f963d32e06.jpg,17.1
101_jpg.rf.effd735d180e4e55758f8faa8c7aff77.jpg,3.1
101_jpg.rf.f9859f24b63e129eb973fe56aeadeea0.jpg,0.0
102_jpg.rf.3e87c3d3b2d18836e6806b2917ae8b83.jpg,13.9
102_jpg.rf.5c12c7f157d24ba5cf35219cfb975187.jpg,16.6
102_jpg.rf.b20faac6c031f71dfc0f13cb6f20f949.jpg,14.3
103_jpg.rf.5e1353c2e7b4d8d227017404786fbbb5.jpg,42.2
103_jpg.rf.61ef8464d95a293ff84ac05cd1cf3c9e.jpg,12.0
103_jpg.rf.8a70ce5525f61fa168dd1259580d4a39.jpg,25.8
104_jpg.rf.41092f34540c0bd4a64d0169f3a77e83.jpg,19.4
104_jpg.rf.47bc2228f977c3fc4e2bfd18e7bd8632.jpg,15.9
104_jpg.rf.ee34e547204df5fc9ea2a6ebaedad187.jpg,0.0
105_jpg.rf.0aab9ef9977ef4b201c28e94cbcad694.jpg,8.3
105_jpg.rf.25c57c4e2040b7076ea2ec6b2b6f4ca7.jpg,0.0
106_jpg.rf.4a82bb2bb29adb364806ee1136477f50.jpg,0.0
106_jpg.rf.a4d64ca54e94dbb4d27563e172a7073f.jpg,0.0
106_jpg.rf.f8401c3d59f251a54eec3a70b6d8589a.jpg,0.0
107_jpg.rf.883bb80a1b823f1171ab5d07745e1665.jpg,1.4
107_jpg.rf.8bd26fcc958ebefd5531dbe930beb885.jpg,7.8
107_jpg.rf.a8c53febde0f8dd3a5a98ace80d789b0.jpg,10.7
108_jpg.rf.5f29fd4bf187087eb5f0d7528e64133c.jpg,35.5
108_jpg.rf.c08e9d3301cfd5cea6f04d1fb34fb567.jpg,41.8
108_jpg.rf.e43022b678c58c0257f37d5ad4ad9213.jpg,0.0
109_jpg.rf.6fcfc8954dcebffa654edc1199eec6f6.jpg,15.3
109_jpg.rf.b158198b4801289ad5c4e7d26eae7d91.jpg,17.2
109_jpg.rf.e5c7a734c60f9c07c8672b91b731988d.jpg,17.9
10_jpg.rf.34521c234b58d44650cab30f08e4dd9c.jpg,25.7
10_jpg.rf.398b23cbb672eeaebfd37612792f8a55.jpg,7.9
10_jpg.rf.682e8e02ac07293e9378bcb294c4fb23.jpg,12.2
10_jpg.rf.9c7fea8410b886fbd5dc13a51128f9b5.jpg,9.5
10_jpg.rf.ec7dc796c4c27cf4c24ef5106a384cbd.jpg,29.7
10_jpg.rf.ef8b3633fbc5945511ad8c4e6133fa03.jpg,7.6
110_jpg.rf.04e751bc458954bd5c9cba6d68a8405e.jpg,41.4
110_jpg.rf.d05fd869e2249c718efc7a17ce5ce661.jpg,50.2
110_jpg.rf.e83499aea838f852eec95138ee02f0cf.jpg,17.9
111_jpg.rf.4b742427fd12dbaea2dad029c4a83137.jpg,12.4
111_jpg.rf.4d49dcb3269625f48362071b708185c0.jpg,0.0
